Transacciones_ATM,ticket_promedio_diarioATM,Monto_Neto_ATM
175517,77.401995248,13585366
206301,77.157556192,15917681
177879,71.336099258,12689194
226727,81.188221959,18407562
266234,85.365328996,22727153
176263,67.752778518,11942308
229996,77.121836902,17737714
194857,70.752988089,13786715
247047,90.499803681,22357705
255566,96.557143752,24676723
402860,123.143700045,49609671
377666,118.1970789,44639018
201084,86.962423664,17486752
247090,89.068707758,22007987
215708,78.911885512,17021925
205015,69.530034388,14254700
214717,74.897958708,16081865
214420,74.67664397,16012166
220623,77.747057197,17152789
140954,61.794663507,8710205
169103,66.322247388,11215291
184414,74.171207175,13678209
182401,69.213381506,12624590
249946,95.126823394,23776569
382791,111.339697119,42619834
340247,104.876971729,35684075
195562,81.515432446,15941321
245019,89.888784135,22024460
205659,84.387116538,17354970
194621,75.181378166,14631875
177366,74.444966905,13204006
230703,81.440557773,18788581
210248,82.470154294,17339185
134570,62.999405514,8477830
160134,69.521207239,11132709
150831,68.305043393,10302518
154456,66.656665976,10295522
172518,77.4035405,13353504
295325,105.930805045,31284015
252689,94.037856812,23762332
166506,78.973562514,13149572
258809,101.150953019,26178777
311672,107.704477784,33568470
243166,85.247222062,20729226
203800,77.200230618,15733407
230421,82.626418599,19038862
224983,80.877546303,18196073
146886,62.974422341,9250061
171780,68.90374316,11836285
149183,67.141664935,10016395
156018,63.56010204,9916520
155575,67.441806203,10492259
238387,86.82505338,20697964
242830,94.113552691,22853594
155588,75.339897678,11721984
198513,87.231178814,17316523
299225,108.388035759,32432410
347371,107.824919179,37455250
239249,89.371888702,21382135
244230,85.347987553,20844539
239416,84.250651586,20170954
141967,69.042319694,9801731
193464,77.357647934,14965920
156483,70.08733217,10967476
164698,67.798819658,11166330
169149,66.210045581,11199363
207700,82.386461242,17111668
236302,92.149592471,21775133
150723,74.459127008,11222703
195423,82.882690369,16197184
200264,87.046588503,17432298
288320,102.382047725,29518792
335368,107.378876339,36011439
261078,88.168225588,23018784
243334,84.425719382,20543648
156396,66.315404486,10371464
181967,70.739123028,12872186
195914,74.739472422,14642509
166360,65.425595095,10884202
165259,68.730483665,11358331
213340,82.509473141,17602571
206908,81.299843409,16821588
139914,63.360878826,8865074
169155,72.58156129,12277534
227164,99.366858305,22572573
223647,88.527657424,19798945
295228,104.487541832,30847648
373266,110.204026083,41135416
293995,100.378645895,29510820
168100,77.690339084,13059746
219578,87.907568153,19302568
122768,65.015639255,7981840
134613,62.153707294,8366697
118366,65.049237112,7699618
194235,85.403073596,16588266
188579,79.301767429,14954648
124737,63.60451991,7933837
202938,82.418206546,16725786
129354,69.891012261,9040682
219952,91.162580927,20051392
226509,93.271062077,21126735
358660,112.94693024,40509546
351083,108.821304364,38205310
181710,81.946425623,14890485
229218,84.657374203,19404994
186864,75.198117347,14051821
187168,69.159696102,12944482
173739,69.360235756,12050578
236804,83.20536393,19703363
215869,77.935053204,16823762
141095,63.044594068,8895277
163383,68.294718545,11158196
156118,70.423500173,10994376
200534,77.48853561,15539086
244782,98.917681856,24213268
386700,116.240129299,44950058
249974,95.119296407,23777351
187762,81.665496746,15333677
313629,108.649831489,34075738
243773,94.766852769,23101600
223107,84.181338999,18781446
209681,83.928286302,17598167
284140,100.436316604,28537975
295283,96.415472614,28469850
199537,76.481564823,15260902
282579,84.626299194,23913615
147780,68.266186223,10088377
211862,76.40319642,16186934
231212,86.232332232,19937950
317748,112.556969674,35764752
290717,105.105033417,30555820
201547,90.900990836,18320822
300022,111.875202485,33565022
388849,123.886020023,48172955
301294,97.494337756,29374459
264710,90.551346757,23969847
293007,96.747309791,28347639
271910,91.299900702,24825356
193021,76.305852731,14728632
225585,81.800447725,18452954
222221,81.268507477,18059569
263647,89.499508813,23596277
283044,88.273851415,24985384
200873,91.236900927,18327030
156281,75.233156942,11757513
234541,96.37917038,22604867
321191,116.706760152,37485161
398771,114.521597609,45667892
328765,96.824166198,31832397
180770,78.092648116,14116808
148429,66.124861045,9814847
214332,83.952284307,17993661
214086,84.614393281,18114757
191406,73.80539795,14126796
177761,74.278531286,13203826
241586,84.335060807,20374170
143009,73.966932151,10577937
140981,62.464580334,8806319
177750,71.990014065,12796225
174867,77.053057467,13474037
231832,95.675428759,22180626
295842,106.329997093,31456879
369020,111.682467075,41213064
274496,90.741934309,24908298
165039,70.997073419,11717286
208874,78.929560405,16486333
182232,74.295453049,13539009
209184,76.044621004,15907318
177308,72.024031629,12770437
196596,77.353033632,15207297
202736,78.6789766,15951061
133957,61.84268086,8284260
188691,76.736230133,14479436
167032,72.140476076,12049768
186067,75.554450816,14058190
249501,101.198880966,25249222
395911,115.170732816,45597360
336726,105.685726674,35587132
184600,78.971386782,14578118
224206,88.842787437,19919086
196356,82.755709018,16249580
191763,78.256738787,15006747
206583,84.755342889,17509013
243529,93.265561802,22712869
194240,87.688962109,17032704
112060,67.309842941,7542741
115489,63.866896414,7375924
169615,76.578162309,12988805
200817,82.752431318,16618095
312379,109.508420861,34208131
281533,96.272593266,27103912
184061,78.118498759,14378569
316490,107.866592941,34138698
235484,86.571440098,20386189
206300,75.127115851,15498724
187528,73.078654921,13704294
235013,81.876815325,19242116
227245,80.589113072,18313473
142311,61.957705307,8817263
175014,71.038002674,12432645
266863,84.596234772,22575605
201341,69.834916882,14060632
250586,93.429158054,23412039
331086,108.707112351,35991403
310100,102.791106095,31875522
207554,85.784403095,17804896
315125,110.363484332,34778293
246894,94.299509101,23281983
212469,80.741392862,17155043
191985,78.409948694,15053534
233398,84.733828053,19776706
230762,83.627143984,19297967
149855,64.517546962,9668277
174160,82.89107717,14436310
164493,79.30500386,13045118
165935,75.332160183,12500242
190532,80.850634014,15404633
269609,101.554721838,27380067
265915,95.505296805,25396291
184067,79.15734488,14570255
270101,101.664766143,27459755
340730,111.371112024,37947479
253427,84.455945894,21403417
212971,76.034192449,16193078
252106,80.776427376,20364222
235025,80.621236039,18948006
153844,63.108681522,9708892
178388,69.874672063,12464803
172128,72.19581939,12426922
211606,82.215197112,17397229
273546,101.182133901,27677968
176055,81.182124904,14292519
142750,72.02593345,10281702
232904,91.286796277,21261060
258189,102.160184981,26376636
331463,110.927352374,36768313
270012,92.291857399,24919909
245985,89.276012765,21960560
239942,86.417163314,20735107
157631,66.81738998,10532492
181915,76.006057774,13826642
206399,80.147059821,16542273
181122,68.870722496,12474003
